21,"STRUMMING GTR","SINGLE UP, SINGLE DOWN","0,1","STRUM 7, STRUM 8","48,49"
22,"KBD COMPING A","CHORD","10","MUTE 12, REFRAIN2","37,52"
23,"KBD COMPING B","BASS+CHORD 4, BASS+CHORD 5","14,15","MUTE 05, 06","30,"
24,"KBD COMPING C","BASS+CHORD 2, BASS+UP 2, BASS+RANDOM 2, TOP+UP 2","12,17,25,28","1/ 6, 1/12","1,3"
25,"KBD COMPING D","BASS+CHORD 2, BASS+UP 2, BASS+RANDOM 2, TOP+UP 2","12,17,25,28","1/16 1,1/16 2,1/16 3","4,5,6"
26,"KBD COMPING E","CHORD, BASS+CHORD 1","10,11","REGGAE1,REGGAE2","50,96"
27,"PERCUSSION"," SINGLE UP, SINGLE DOWN, SINGLE UP&DOWN,  SINGLE RANDOM, DUAL UP, DUAL DOWN, DUAL UP&DOWN,  DUAL RANDOM, NOTE ORDER, BASS+UP 1, BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8, BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3, TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6","0,1,2,3,4,5,6,7,8,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","PERC1,PERC2,PERC3,PERC4","53,54,55,56"
28,"HARP"," SINGLE UP, SINGLE DOWN, SINGLE UP&DOWN, GLISSANDO","0,1,2,9","HARP","58"
29,"SHAMISEN","TOP+UP 4–6","","SEQ-A 2","11"
36,"BOUND BALL","SINGLE UP, SINGLE DOWN, SINGLE UP&DOWN,  SINGLE RANDOM, DUAL UP, DUAL DOWN, DUAL UP&DOWN,  DUAL RANDOM, NOTE ORDER, GLISSANDO","0,1,2,3,4,5,6,7,8,9","BOUND","59"
31,"RANDOM","SINGLE RANDOM, DUAL RANDOM, BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3","3,7,24,25,26","1/ 4, 1/6, 1/8, 1/12, 1/16 1,1/16 2,1/16 3,1/32 1,1/32 2,1/32 3, RANDOM","0,3,4,5,6,7,8,9,60"
36,"BOSSA NOVA","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","BOSSA NOVA","97"
37,"SALSA","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","SALSA 1,SALSA 2,SALSA 3,SALSA 4","98,99,100,101"
38,"MAMBO","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","MAMBO 1,MAMBO 2","102,103"
39,"LATIN PERCUSSION","SINGLE UP, SINGLE DOWN, SINGLE UP&DOWN,  SINGLE RANDOM, DUAL UP, DUAL DOWN, DUAL UP&DOWN,  DUAL RANDOM, NOTE ORDER, GLISSANDO","0,1,2,3,4,5,6,7,8,9","CLAVE, REV CLA, GUIRO, AGOGO","104,105,106,107"
40,"SAMBA","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","SAMBA","108"
41,"TANGO","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","TANGO 1,TANGO 2,TANGO 3,TANGO 4","109,110,111,112"
42,"HOUSE","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","HOUSE 1,HOUSE 2","113,114"
32,"LIMITLESS","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","1/ 4,1/ 6,1/ 8,1/12,1/16 1,1/16 2,1/16 3,1/32 1,1/32 2,1/32 3,SEQ-A 1,SEQ-A 2,SEQ-A 3,SEQ-A 4,SEQ-A 5,SEQ-A 6,SEQ-A 7,SEQ-B 1,SEQ-B 2,SEQ-B 3,SEQ-B 4,SEQ-C 1,SEQ-C 2,ECHO 1,ECHO 2,ECHO 3,MUTE 01,MUTE 02,MUTE 03,MUTE 04,MUTE 05,MUTE 06,MUTE 07,MUTE 08,MUTE 09,MUTE 10,MUTE 11,MUTE 12,MUTE 13,MUTE 14,MUTE 15,MUTE 16,STRUM 1,STRUM 2,STRUM 3,STRUM 4,STRUM 5,STRUM 6,STRUM 7,STRUM 8,REGGAE1,REFRAIN1,REFRAIN2,PERC1,PERC2,PERC3,PERC4,WALKBS,HARP,BOUND,RANDOM,PORTA-A 01,PORTA-A 02,PORTA-A 03,PORTA-A 04,PORTA-A 05,PORTA-A 06,PORTA-A 07,PORTA-A 08,PORTA-A 09,PORTA-A 10,PORTA-A 11,PORTA-B 01,PORTA-B 02,PORTA-B 03,PORTA-B 04,PORTA-B 05,PORTA-B 06,PORTA-B 07,PORTA-B 08,PORTA-B 09,PORTA-B 10,PORTA-B 11,PORTA-B 12,PORTA-B 13,PORTA-B 14,PORTA-B 15,SEQ-B 5,SEQ-D 1,SEQ-D 2,SEQ-D 3,SEQ-D 4,SEQ-D 5,SEQ-D 6,SEQ-D 7,SEQ-D 8,REGGAE2,BOSSA NOVA,SALSA 1,SALSA 2,SALSA 3,SALSA 4,MAMBO 1,MAMBO 2,CLAVE,REV CLA,GUIRO,AGOGO,SAMBA,TANGO 1,TANGO 2,TANGO 3,TANGO 4,HOUSE 1,HOUSE 2","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114"
